id,member_id,loan_amount,funded_amount,funded_amount_inv,term,int_rate,instalment,grade,sub_grade,employment_length,home_ownership,annual_inc,verification_status,issue_date,loan_status,payment_plan,purpose,dti,delinq_2yrs,earliest_credit_line,inq_last_6mths,open_accounts,total_accounts,out_prncp,out_prncp_inv,total_payment,total_payment_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_payment_date,last_payment_amount,last_credit_pull_date,collections_12_mths_ex_med,policy_code,application_type
38676116,41461848,8000,8000.0,8000.0,36 months,7.49,248.82,A,A4,5 years,MORTGAGE,46000.0,Not Verified,2021-01,Current,n,credit_card,19.54,2,1987-10,1,12,27,5529.7,5529.7,2982.51,2982.51,2470.3,512.21,0.0,0.0,0.0,2022-01,248.82,2022-01,0.0,1,INDIVIDUAL
38656203,41440010,13200,13200.0,13200.0,36 months,6.99,407.52,A,A3,9 years,RENT,50000.0,Not Verified,2021-01,Current,n,credit_card,24.2,0,2001-09,0,15,31,9102.83,9102.83,4885.11,4885.11,4097.17,787.94,0.0,0.0,0.0,2022-01,407.52,2022-01,0.0,1,INDIVIDUAL
38656154,41439961,16000,16000.0,16000.0,36 months,7.49,497.63,A,A4,8 years,MORTGAGE,73913.0,Verified,2021-01,Fully Paid,n,credit_card,16.92,0,1998-09,0,7,18,0.0,0.0,16824.54,16824.54,16000.0,824.54,0.0,0.0,0.0,2021-10,12850.16,2021-10,0.0,1,INDIVIDUAL
38656128,41439934,15000,15000.0,15000.0,36 months,14.31,514.93,C,C4,1 year,RENT,42000.0,Verified,2021-01,Fully Paid,n,debt_consolidation,35.52,0,2008-06,0,6,13,0.0,0.0,15947.47,15947.47,15000.0,947.47,0.0,0.0,0.0,2021-06,13899.67,2021-06,0.0,1,INDIVIDUAL
38656121,41439927,15000,15000.0,15000.0,36 months,6.03,456.54,A,A1,10+ years,MORTGAGE,145000.0,Verified,2021-01,Current,n,debt_consolidation,3.33,0,2002-04,1,23,50,10297.47,10297.47,5473.46,5473.46,4702.53,770.93,0.0,0.0,0.0,2022-01,456.54,2022-01,0.0,1,INDIVIDUAL
38656111,41439917,2525,2525.0,2525.0,36 months,11.44,83.2,B,B4,< 1 year,OWN,32000.0,Verified,2021-01,Current,n,home_improvement,6.6,1,2011-03,0,3,4,1842.68,1842.68,913.6,913.6,682.32,231.28,0.0,0.0,0.0,2022-01,91.39,2022-01,0.0,1,INDIVIDUAL
38656110,41439916,6675,6675.0,6675.0,36 months,21.99,254.89,E,E5,10+ years,RENT,13536.0,Verified,2021-01,Fully Paid,n,debt_consolidation,16.13,0,2006-11,2,3,4,0.0,0.0,6963.53,6963.53,6675.0,288.53,0.0,0.0,0.0,2021-03,6724.95,2021-03,0.0,1,INDIVIDUAL
38656067,41439872,26500,26500.0,26200.0,36 months,19.99,701.95,E,E3,< 1 year,RENT,78000.0,Verified,2021-01,Charged Off,n,debt_consolidation,13.71,0,2001-03,0,10,37,0.0,0.0,4182.27,4134.92,1197.35,2984.92,0.0,0.0,0.0,2021-08,701.95,2022-01,0.0,1,INDIVIDUAL
38656063,41439868,10000,10000.0,10000.0,60 months,12.99,227.48,C,C2,< 1 year,RENT,50048.0,Verified,2021-01,Current,n,credit_card,20.67,0,2005-11,0,8,11,8480.91,8480.91,2722.54,2722.54,1519.09,1203.45,0.0,0.0,0.0,2022-01,227.48,2022-01,0.0,1,INDIVIDUAL
38656052,41439857,10000,10060.26511770228,10000.0,36 months,8.19,314.25,A,A5,10+ years,MORTGAGE,103000.0,Not Verified,2021-01,Current,n,credit_card,15.95,0,2002-02,1,14,35,6934.63,6934.63,3766.45,3766.45,3065.37,701.08,0.0,0.0,0.0,2022-01,314.25,2022-01,0.0,1,INDIVIDUAL
